MODEL,SAMPLING,PARAMS,MEAN_SCORE
logistic_regression,No resampling (all features),{'model__penalty': None},0.40521849081752154
logistic_regression,No resampling (all features),{'model__penalty': 'l2'},0.405186209057159
logistic_regression,No resampling (inference features),{'model__penalty': None},0.32706018843411727
logistic_regression,No resampling (inference features),{'model__penalty': 'l2'},0.32706018843411727
logistic_regression,Oversampling (all features),{'model__penalty': None},0.570104189993624
logistic_regression,Oversampling (all features),{'model__penalty': 'l2'},0.5699145388904577
logistic_regression,Oversampling (inference features),{'model__penalty': None},0.29125791469162854
logistic_regression,Oversampling (inference features),{'model__penalty': 'l2'},0.29114423494649283
logistic_regression,Undersampling (all features),{'model__penalty': None},0.4328417143032562
logistic_regression,Undersampling (all features),{'model__penalty': 'l2'},0.43258226390903554
logistic_regression,Undersampling (inference features),{'model__penalty': None},0.32697936741302575
logistic_regression,Undersampling (inference features),{'model__penalty': 'l2'},0.32697936741302575
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.47129880681970765
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.4743095004569357
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.47594977041156167
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.4471861353078304
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.44804786681388037
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.44769615239762217
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.40514359637168673
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.41108491384096335
random_forest,No resampling (all features),"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",0.4095383781898754
random_forest,No resampling (all features),"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.32706295051948503
random_forest,No resampling (all features),"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.32706295051948503
random_forest,No resampling (all features),"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.32706295051948503
random_forest,No resampling (all features),"{'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.32706295051948503
random_forest,No resampling (all features),"{'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.32706295051948503
random_forest,No resampling (all features),"{'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.32706295051948503
random_forest,No resampling (all features),"{'model__max_depth': 2, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.32706295051948503
